Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
00000d89      6  189      3   0 hit          5     2e   0 miss      b   8 miss
00000c64      6   64      3   0 hit          5     29   2 miss      a   6 hit 
000003e2      1  1e2      0   1 miss hit     6     37   2 miss      d   e miss
00000eb4      7   b4      3   1 miss hit     2     12   3 miss      4   b miss
00000e1e      7   1e      3   1 hit          2     10   1 miss      4   1 miss
0000048d      2   8d      1   0 miss hit     7     3a   0 miss      e   8 miss
000000b9      0   b9      0   0 miss hit     3     1a   3 miss      6   b miss
00000f08      7  108      3   1 hit          2     14   0 miss      5   0 hit 
00000663      3   63      1   1 miss hit     1      9   2 miss      2   6 miss
00000360      1  160      0   1 miss hit     6     35   2 miss      d   6 miss
000007bb      3  1bb      1   1 miss hit     1      e   3 miss      3   b miss
000003db      1  1db      0   1 miss hit     6     37   1 miss      d   d miss
000003c9      1  1c9      0   1 hit          6     37   0 miss      d   c hit 
00000ee0      7   e0      3   1 miss hit     2     13   2 miss      4   e miss
00000da4      6  1a4      3   0 miss hit     5     2e   2 miss      b   a miss
000001f8      0  1f8      0   0 miss hit     3     1f   3 miss      7   f miss
00000e9a      7   9a      3   1 hit          2     12   1 miss      4   9 miss
00000e77      7   77      3   1 hit          2     11   3 miss      4   7 miss
000006d2      3   d2      1   1 miss hit     1      b   1 miss      2   d miss
00000677      3   77      1   1 hit          1      9   3 miss      2   7 miss
000000f2      0   f2      0   0 hit          3     1b   3 miss      6   f miss
00000074      0   74      0   0 hit          3     19   3 miss      6   7 miss
0000096e      4  16e      2   0 miss hit     4     25   2 miss      9   6 miss
00000645      3   45      1   1 hit          1      9   0 miss      2   4 hit 
00000fb1      7  1b1      3   1 miss hit     2     16   3 miss      5   b hit 
000004bc      2   bc      1   0 miss hit     7     3a   3 miss      e   b miss
00000a7b      5   7b      2   1 miss hit     0      1   3 miss      0   7 miss
00000e29      7   29      3   1 miss hit     2     10   2 miss      4   2 miss
00000848      4   48      2   0 miss hit     4     21   0 miss      8   4 miss
000000aa      0   aa      0   0 miss hit     3     1a   2 miss      6   a miss
0000065e      3   5e      1   1 miss hit     1      9   1 miss      2   5 miss
00000ace      5   ce      2   1 miss hit     0      3   0 miss      0   c miss
00000ce7      6   e7      3   0 miss hit     5     2b   2 miss      a   e miss
00000bba      5  1ba      2   1 hit          0      6   3 miss      1   b miss
00000d4e      6  14e      3   0 hit          5     2d   0 miss      b   4 miss
00000220      1   20      0   1 miss hit     6     30   2 miss      c   2 miss
00000b06      5  106      2   1 miss hit     0      4   0 miss      1   0 miss
00000b2f      5  12f      2   1 hit          0      4   2 miss      1   2 miss
000009bc      4  1bc      2   0 miss hit     4     26   3 miss      9   b miss
00000e58      7   58      3   1 miss hit     2     11   1 miss      4   5 miss
00000fab      7  1ab      3   1 hit          2     16   2 miss      5   a miss
00000a73      5   73      2   1 miss hit     0      1   3 miss      0   7 hit 
00000d48      6  148      3   0 miss hit     5     2d   0 miss      b   4 hit 
00000b8d      5  18d      2   1 hit          0      6   0 miss      1   8 hit 
00000901      4  101      2   0 miss hit     4     24   0 miss      9   0 miss
00000a9e      5   9e      2   1 hit          0      2   1 miss      0   9 hit 
00000ba5      5  1a5      2   1 hit          0      6   2 miss      1   a miss
0000030c      1  10c      0   1 miss hit     6     34   0 miss      d   0 miss
00000dd5      6  1d5      3   0 miss hit     5     2f   1 miss      b   d miss
000001ad      0  1ad      0   0 miss hit     3     1e   2 miss      7   a miss
0000000d      0    d      0   0 hit          3     18   0 miss      6   0 miss
00000c43      6   43      3   0 miss hit     5     29   0 miss      a   4 miss
000008b4      4   b4      2   0 miss hit     4     22   3 miss      8   b miss
000002a8      1   a8      0   1 hit          6     32   2 miss      c   a miss
00000c31      6   31      3   0 miss hit     5     28   3 miss      a   3 miss
000007ec      3  1ec      1   1 miss hit     1      f   2 miss      3   e miss
0000093b      4  13b      2   0 miss hit     4     24   3 miss      9   3 miss
00000c36      6   36      3   0 miss hit     5     28   3 miss      a   3 hit 
00000658      3   58      1   1 hit          1      9   1 miss      2   5 hit 
000005a4      2  1a4      1   0 miss hit     7     3e   2 miss      f   a miss
000008ef      4   ef      2   0 miss hit     4     23   2 miss      8   e miss
0000055d      2  15d      1   0 miss hit     7     3d   1 miss      f   5 miss
00000396      1  196      0   1 miss hit     6     36   1 miss      d   9 miss
00000eea      7   ea      3   1 miss hit     2     13   2 miss      4   e hit 
00000b72      5  172      2   1 miss hit     0      5   3 miss      1   7 miss
0000026c      1   6c      0   1 miss hit     6     31   2 miss      c   6 miss
00000621      3   21      1   1 miss hit     1      8   2 miss      2   2 miss
00000cef      6   ef      3   0 miss hit     5     2b   2 miss      a   e hit 
00000d64      6  164      3   0 hit          5     2d   2 miss      b   6 miss
000003fd      1  1fd      0   1 miss hit     6     37   3 miss      d   f hit 
0000015f      0  15f      0   0 miss hit     3     1d   1 miss      7   5 miss
0000083d      4   3d      2   0 miss hit     4     20   3 miss      8   3 miss
00000762      3  162      1   1 miss hit     1      d   2 miss      3   6 miss
00000a65      5   65      2   1 miss hit     0      1   2 miss      0   6 miss
00000bb8      5  1b8      2   1 hit          0      6   3 miss      1   b hit 
000009a5      4  1a5      2   0 hit          4     26   2 miss      9   a miss
00000990      4  190      2   0 hit          4     26   1 miss      9   9 miss
000000b1      0   b1      0   0 miss hit     3     1a   3 miss      6   b miss
0000063b      3   3b      1   1 miss hit     1      8   3 miss      2   3 miss
0000064e      3   4e      1   1 hit          1      9   0 miss      2   4 hit 
00000eb7      7   b7      3   1 miss hit     2     12   3 miss      4   b miss
00000c88      6   88      3   0 miss hit     5     2a   0 miss      a   8 miss
000001e9      0  1e9      0   0 miss hit     3     1f   2 miss      7   e miss
0000036f      1  16f      0   1 miss hit     6     35   2 miss      d   6 miss
00000061      0   61      0   0 hit          3     19   2 miss      6   6 miss
00000488      2   88      1   0 miss hit     7     3a   0 miss      e   8 hit 
000003a2      1  1a2      0   1 hit          6     36   2 miss      d   a miss
00000a79      5   79      2   1 miss hit     0      1   3 miss      0   7 hit 
00000f3a      7  13a      3   1 miss hit     2     14   3 miss      5   3 miss
00000a90      5   90      2   1 miss hit     0      2   1 miss      0   9 hit 
00000a68      5   68      2   1 hit          0      1   2 miss      0   6 hit 
00000caf      6   af      3   0 miss hit     5     2a   2 miss      a   a miss
000006df      3   df      1   1 miss hit     1      b   1 miss      2   d hit 
00000ae6      5   e6      2   1 miss hit     0      3   2 miss      0   e miss
00000814      4   14      2   0 miss hit     4     20   1 miss      8   1 miss
00000500      2  100      1   0 miss hit     7     3c   0 miss      f   0 miss
00000290      1   90      0   1 miss hit     6     32   1 miss      c   9 miss
00000cdd      6   dd      3   0 miss hit     5     2b   1 miss      a   d miss
00000b02      5  102      2   1 miss hit     0      4   0 miss      1   0 miss
00000949      4  149      2   0 miss hit     4     25   0 miss      9   4 miss
00000618      3   18      1   1 miss hit     1      8   1 miss      2   1 hit 
00000a44      5   44      2   1 miss hit     0      1   0 miss      0   4 miss
000003e9      1  1e9      0   1 miss hit     6     37   2 miss      d   e miss
00000d47      6  147      3   0 miss hit     5     2d   0 miss      b   4 miss
000001e2      0  1e2      0   0 miss hit     3     1f   2 miss      7   e hit 
00000270      1   70      0   1 hit          6     31   3 miss      c   7 miss
00000fcc      7  1cc      3   1 miss hit     2     17   0 miss      5   c miss
00000154      0  154      0   0 hit          3     1d   1 miss      7   5 hit 
00000ca4      6   a4      3   0 miss hit     5     2a   2 miss      a   a hit 
00000606      3    6      1   1 miss hit     1      8   0 miss      2   0 miss
00000337      1  137      0   1 miss hit     6     34   3 miss      d   3 miss
0000071f      3  11f      1   1 miss hit     1      c   1 miss      3   1 miss
00000b77      5  177      2   1 miss hit     0      5   3 miss      1   7 hit 
00000bd4      5  1d4      2   1 hit          0      7   1 miss      1   d miss
00000b42      5  142      2   1 hit          0      5   0 miss      1   4 miss
00000a7b      5   7b      2   1 hit          0      1   3 miss      0   7 hit 
00000c81      6   81      3   0 hit          5     2a   0 miss      a   8 hit 
00000c13      6   13      3   0 hit          5     28   1 miss      a   1 miss
00000484      2   84      1   0 miss hit     7     3a   0 miss      e   8 hit 
00000647      3   47      1   1 miss hit     1      9   0 miss      2   4 miss
00000a36      5   36      2   1 miss hit     0      0   3 miss      0   3 miss
00000a31      5   31      2   1 hit          0      0   3 hit                 
00000daa      6  1aa      3   0 miss hit     5     2e   2 miss      b   a miss
0000060a      3    a      1   1 miss hit     1      8   0 miss      2   0 hit 
00000526      2  126      1   0 miss hit     7     3c   2 miss      f   2 miss
000003b2      1  1b2      0   1 miss hit     6     36   3 miss      d   b miss
00000959      4  159      2   0 miss hit     4     25   1 miss      9   5 miss
0000059a      2  19a      1   0 miss hit     7     3e   1 miss      f   9 miss
0000039e      1  19e      0   1 hit          6     36   1 miss      d   9 miss
00000d54      6  154      3   0 miss hit     5     2d   1 miss      b   5 miss
000007cf      3  1cf      1   1 miss hit     1      f   0 miss      3   c miss
00000cfc      6   fc      3   0 hit          5     2b   3 miss      a   f miss
00000c7b      6   7b      3   0 hit          5     29   3 miss      a   7 miss
00000adf      5   df      2   1 miss hit     0      3   1 miss      0   d miss
00000d85      6  185      3   0 hit          5     2e   0 miss      b   8 hit 
00000524      2  124      1   0 miss hit     7     3c   2 hit                 
0000045b      2   5b      1   0 hit          7     39   1 miss      e   5 miss
00000e77      7   77      3   1 miss hit     2     11   3 miss      4   7 miss
000005ba      2  1ba      1   0 hit          7     3e   3 miss      f   b miss
00000a0a      5    a      2   1 miss hit     0      0   0 miss      0   0 miss
000009ab      4  1ab      2   0 miss hit     4     26   2 miss      9   a hit 
0000071e      3  11e      1   1 miss hit     1      c   1 miss      3   1 hit 
000003d4      1  1d4      0   1 miss hit     6     37   1 miss      d   d miss
00000151      0  151      0   0 miss hit     3     1d   1 miss      7   5 hit 
00000f37      7  137      3   1 miss hit     2     14   3 miss      5   3 hit 
00000ba8      5  1a8      2   1 miss hit     0      6   2 miss      1   a miss
000001c2      0  1c2      0   0 hit          3     1f   0 miss      7   c miss
00000df0      6  1f0      3   0 miss hit     5     2f   3 miss      b   f miss
00000fd9      7  1d9      3   1 miss hit     2     17   1 miss      5   d miss
00000f3e      7  13e      3   1 hit          2     14   3 miss      5   3 hit 
00000b01      5  101      2   1 miss hit     0      4   0 miss      1   0 hit 
00000a2b      5   2b      2   1 hit          0      0   2 miss      0   2 miss
00000d76      6  176      3   0 hit          5     2d   3 miss      b   7 miss
00000b1e      5  11e      2   1 hit          0      4   1 miss      1   1 miss
00000012      0   12      0   0 miss hit     3     18   1 miss      6   1 miss
00000e2e      7   2e      3   1 miss hit     2     10   2 miss      4   2 miss
00000db7      6  1b7      3   0 miss hit     5     2e   3 miss      b   b miss
00000067      0   67      0   0 miss hit     3     19   2 miss      6   6 hit 
00000ddd      6  1dd      3   0 miss hit     5     2f   1 miss      b   d miss
000000a5      0   a5      0   0 miss hit     3     1a   2 miss      6   a miss
00000b0f      5  10f      2   1 miss hit     0      4   0 hit                 
000009e9      4  1e9      2   0 miss hit     4     27   2 miss      9   e miss
00000c62      6   62      3   0 miss hit     5     29   2 miss      a   6 miss
00000ceb      6   eb      3   0 hit          5     2b   2 miss      a   e miss
00000e69      7   69      3   1 miss hit     2     11   2 miss      4   6 miss
0000010b      0  10b      0   0 miss hit     3     1c   0 miss      7   0 miss
00000cfb      6   fb      3   0 miss hit     5     2b   3 miss      a   f hit 
000001ac      0  1ac      0   0 miss hit     3     1e   2 miss      7   a miss
00000357      1  157      0   1 miss hit     6     35   1 miss      d   5 miss
00000a6e      5   6e      2   1 miss hit     0      1   2 miss      0   6 hit 
00000642      3   42      1   1 miss hit     1      9   0 miss      2   4 hit 
00000e1a      7   1a      3   1 miss hit     2     10   1 miss      4   1 miss
000005ba      2  1ba      1   0 miss hit     7     3e   3 miss      f   b hit 
00000563      2  163      1   0 hit          7     3d   2 miss      f   6 miss
00000def      6  1ef      3   0 miss hit     5     2f   2 miss      b   e miss
00000102      0  102      0   0 miss hit     3     1c   0 miss      7   0 hit 
00000c9b      6   9b      3   0 miss hit     5     2a   1 miss      a   9 miss
00000a49      5   49      2   1 miss hit     0      1   0 miss      0   4 hit 
00000cbe      6   be      3   0 hit          5     2a   3 miss      a   b miss
00000102      0  102      0   0 miss hit     3     1c   0 miss      7   0 hit 
00000584      2  184      1   0 miss hit     7     3e   0 miss      f   8 miss
00000bb3      5  1b3      2   1 hit          0      6   3 miss      1   b miss
0000084e      4   4e      2   0 miss hit     4     21   0 miss      8   4 miss
0000071a      3  11a      1   1 miss hit     1      c   1 miss      3   1 hit 
00000ffc      7  1fc      3   1 miss hit     2     17   3 miss      5   f miss
00000aca      5   ca      2   1 miss hit     0      3   0 miss      0   c hit 
00000443      2   43      1   0 miss hit     7     39   0 miss      e   4 miss
00000230      1   30      0   1 miss hit     6     30   3 miss      c   3 miss
00000cf2      6   f2      3   0 miss hit     5     2b   3 miss      a   f hit 
00000c16      6   16      3   0 hit          5     28   1 miss      a   1 miss
000001dc      0  1dc      0   0 miss hit     3     1f   1 miss      7   d miss
000003cb      1  1cb      0   1 hit          6     37   0 miss      d   c miss
00000fb0      7  1b0      3   1 miss hit     2     16   3 miss      5   b miss
000008eb      4   eb      2   0 miss hit     4     23   2 miss      8   e miss
000000c8      0   c8      0   0 miss hit     3     1b   0 miss      6   c miss
00000a09      5    9      2   1 miss hit     0      0   0 miss      0   0 hit 
0000095b      4  15b      2   0 miss hit     4     25   1 miss      9   5 miss
00000f90      7  190      3   1 miss hit     2     16   1 miss      5   9 miss
00000dde      6  1de      3   0 miss hit     5     2f   1 miss      b   d hit 
000002f1      1   f1      0   1 miss hit     6     33   3 miss      c   f miss
000001da      0  1da      0   0 miss hit     3     1f   1 miss      7   d hit 
00000d5b      6  15b      3   0 miss hit     5     2d   1 miss      b   5 miss
0000046e      2   6e      1   0 miss hit     7     39   2 miss      e   6 miss
00000621      3   21      1   1 miss hit     1      8   2 miss      2   2 hit 
00000742      3  142      1   1 hit          1      d   0 miss      3   4 miss
00000ff8      7  1f8      3   1 miss hit     2     17   3 miss      5   f hit 
00000568      2  168      1   0 hit          7     3d   2 miss      f   6 hit 
00000c47      6   47      3   0 miss hit     5     29   0 miss      a   4 miss
00000314      1  114      0   1 miss hit     6     34   1 miss      d   1 miss
000005e5      2  1e5      1   0 miss hit     7     3f   2 miss      f   e miss
00000325      1  125      0   1 hit          6     34   2 miss      d   2 miss
000006ea      3   ea      1   1 miss hit     1      b   2 miss      2   e miss
000001da      0  1da      0   0 miss hit     3     1f   1 miss      7   d hit 
0000089a      4   9a      2   0 miss hit     4     22   1 miss      8   9 miss
00000f5b      7  15b      3   1 miss hit     2     15   1 miss      5   5 miss
00000b26      5  126      2   1 miss hit     0      4   2 miss      1   2 miss
00000406      2    6      1   0 miss hit     7     38   0 miss      e   0 miss
00000c32      6   32      3   0 miss hit     5     28   3 miss      a   3 miss
00000bfc      5  1fc      2   1 hit          0      7   3 miss      1   f miss
0000072e      3  12e      1   1 miss hit     1      c   2 miss      3   2 miss
0000014b      0  14b      0   0 miss hit     3     1d   0 miss      7   4 miss
00000514      2  114      1   0 miss hit     7     3c   1 miss      f   1 miss
00000c50      6   50      3   0 miss hit     5     29   1 miss      a   5 miss
000008cd      4   cd      2   0 miss hit     4     23   0 miss      8   c miss
000005b7      2  1b7      1   0 miss hit     7     3e   3 miss      f   b hit 
00000372      1  172      0   1 miss hit     6     35   3 miss      d   7 miss
00000161      0  161      0   0 miss hit     3     1d   2 miss      7   6 miss
000007eb      3  1eb      1   1 miss hit     1      f   2 miss      3   e miss
00000416      2   16      1   0 miss hit     7     38   1 miss      e   1 miss
0000060f      3    f      1   1 hit          1      8   0 miss      2   0 miss
00000315      1  115      0   1 miss hit     6     34   1 miss      d   1 hit 
00000dbc      6  1bc      3   0 miss hit     5     2e   3 miss      b   b miss
00000beb      5  1eb      2   1 miss hit     0      7   2 miss      1   e miss
000001d0      0  1d0      0   0 miss hit     3     1f   1 miss      7   d hit 
0000021d      1   1d      0   1 miss hit     6     30   1 miss      c   1 miss
00000fa2      7  1a2      3   1 miss hit     2     16   2 miss      5   a miss
000001c8      0  1c8      0   0 hit          3     1f   0 miss      7   c miss
00000e19      7   19      3   1 hit          2     10   1 miss      4   1 miss
0000008c      0   8c      0   0 hit          3     1a   0 miss      6   8 miss
00000e9d      7   9d      3   1 hit          2     12   1 miss      4   9 miss
00000093      0   93      0   0 hit          3     1a   1 miss      6   9 miss
0000071f      3  11f      1   1 miss hit     1      c   1 miss      3   1 miss
00000c5c      6   5c      3   0 miss hit     5     29   1 miss      a   5 hit 
000009dd      4  1dd      2   0 miss hit     4     27   1 miss      9   d miss
000004b7      2   b7      1   0 miss hit     7     3a   3 miss      e   b miss
