Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
000007c2      3  1c2      1   1 miss hit     1      f   0 miss      3   c hit 
00000875      4   75      2   0 miss hit     4     21   3 miss      8   7 miss
00000401      2    1      1   0 miss hit     7     38   0 miss      e   0 miss
00000d57      6  157      3   0 miss hit     5     2d   1 miss      b   5 miss
00000257      1   57      0   1 miss hit     6     31   1 miss      c   5 miss
00000637      3   37      1   1 miss hit     1      8   3 miss      2   3 miss
00000eda      7   da      3   1 miss hit     2     13   1 miss      4   d hit 
00000163      0  163      0   0 miss hit     3     1d   2 miss      7   6 miss
00000285      1   85      0   1 miss hit     6     32   0 miss      c   8 hit 
00000a30      5   30      2   1 miss hit     0      0   3 miss      0   3 hit 
000003ae      1  1ae      0   1 miss hit     6     36   2 miss      d   a miss
00000767      3  167      1   1 miss hit     1      d   2 miss      3   6 hit 
000002a3      1   a3      0   1 miss hit     6     32   2 miss      c   a miss
0000086b      4   6b      2   0 miss hit     4     21   2 miss      8   6 miss
00000be0      5  1e0      2   1 miss hit     0      7   2 miss      1   e miss
00000cbb      6   bb      3   0 miss hit     5     2a   3 miss      a   b hit 
000002d8      1   d8      0   1 miss hit     6     33   1 miss      c   d miss
000002d5      1   d5      0   1 hit          6     33   1 hit                 
